branch_id,branch_type,source_circle_id,target_circle_id,centerline_length,top_boundary_length,bottom_boundary_length,average_boundary_width,min_boundary_width,max_boundary_width,planform_area_proxy,cross_sectional_area,wetted_perimeter,hydraulic_diameter,wetted_surface_area_proxy,resistance_proxy,entry_angle_degrees,exit_angle_degrees,max_curvature_proxy,mean_curvature_proxy
feed_to_snake_0,feed_to_snake,feed_0,snake_1,50.024448316152515,45.24726565986742,45.027555876981644,5.0,2.0,8.0,250.1222415807626,5.0,12.0,1.6666666666666667,600.2933797938301,6.483168501773365,0.0,0.0,0.002067111564472025,0.0007625738021054463
feed_to_snake_1,feed_to_snake,feed_1,snake_2,46.01194517595316,41.21763738158246,41.054545167466856,5.0,2.0,8.0,230.05972587976578,5.0,12.0,1.6666666666666667,552.143342111438,5.963148094803528,0.0,0.0,0.0013943950048398222,0.0005403251630923859
feed_to_snake_2,feed_to_snake,feed_2,snake_3,46.00298664728124,41.166758130046674,41.0851868596706,5.0,2.0,8.0,230.0149332364062,5.0,12.0,1.6666666666666667,552.0358397673749,5.961987069487647,0.0,0.0,0.0006971983503847839,0.0002701937246907255
feed_to_snake_3,feed_to_snake,feed_3,snake_4,46.0,41.12259889707073,41.12259889707073,5.0,2.0,8.0,230.0,5.0,12.0,1.6666666666666667,552.0,5.961599999999999,0.0,0.0,0.0,0.0
feed_to_snake_4,feed_to_snake,feed_4,snake_5,46.00298664728124,41.0851868596706,41.166758130046674,5.0,2.0,8.0,230.0149332364062,5.0,12.0,1.6666666666666667,552.0358397673749,5.961987069487647,0.0,0.0,0.0006971983503847839,0.0002701937246907255
feed_to_snake_5,feed_to_snake,feed_5,snake_6,46.01194517595316,41.054545167466856,41.21763738158246,5.0,2.0,8.0,230.05972587976578,5.0,12.0,1.6666666666666667,552.143342111438,5.963148094803528,0.0,0.0,0.0013943950048398222,0.0005403251630923859
feed_to_snake_6,feed_to_snake,feed_6,snake_7,50.024448316152515,45.027555876981644,45.24726565986742,5.0,2.0,8.0,250.1222415807626,5.0,12.0,1.6666666666666667,600.2933797938301,6.483168501773365,0.0,0.0,0.002067111564472025,0.0007625738021054463
dump_to_ladder_0,dump_to_ladder,dump_0,ladder_0,28.066880330735362,23.63366326420826,23.044830374581608,4.999999999999999,2.0,8.0,140.3344016536768,4.999999999999999,11.999999999999998,1.6666666666666665,336.8025639688243,3.6374676908633043,0.0,0.0,0.0025775262022727377,0.0013715705768116253
dump_to_ladder_1,dump_to_ladder,dump_1,ladder_1,28.034152166149706,23.509542569922072,23.087728740977177,5.0,2.0,8.0,140.17076083074852,5.0,12.0,1.6666666666666667,336.40982599379646,3.6332261207330014,0.0,0.0,0.0018410940606683086,0.0009804449920946506
dump_to_ladder_2,dump_to_ladder,dump_2,ladder_2,28.012301894182087,23.398297231170492,23.14471760866887,5.0,2.0,8.0,140.06150947091044,5.0,12.0,1.6666666666666667,336.14762273018505,3.630394325485998,0.0,0.0,0.0011046580027432506,0.0005885687153551679
dump_to_ladder_3,dump_to_ladder,dump_3,ladder_3,28.00136727313604,23.300231407528198,23.21562259918405,5.0,2.0,8.0,140.00683636568021,5.0,12.0,1.6666666666666667,336.0164072776325,3.62897719859843,0.0,0.0,0.00036821959528770057,0.00019623996212428892
dump_to_ladder_4,dump_to_ladder,dump_4,ladder_4,28.00136727313604,23.21562259918405,23.300231407528198,5.0,2.0,8.0,140.00683636568021,5.0,12.0,1.6666666666666667,336.0164072776325,3.62897719859843,0.0,0.0,0.00036821959528770057,0.00019623996212428892
dump_to_ladder_5,dump_to_ladder,dump_5,ladder_5,28.012301894182087,23.14471760866887,23.398297231170492,5.0,2.0,8.0,140.06150947091044,5.0,12.0,1.6666666666666667,336.14762273018505,3.630394325485998,0.0,0.0,0.0011046580027432506,0.0005885687153551679
dump_to_ladder_6,dump_to_ladder,dump_6,ladder_6,28.034152166149706,23.087728740977177,23.509542569922072,5.0,2.0,8.0,140.17076083074852,5.0,12.0,1.6666666666666667,336.40982599379646,3.6332261207330014,0.0,0.0,0.0018410940606683086,0.0009804449920946506
dump_to_ladder_7,dump_to_ladder,dump_7,ladder_7,28.066880330735362,23.044830374581608,23.63366326420826,4.999999999999999,2.0,8.0,140.3344016536768,4.999999999999999,11.999999999999998,1.6666666666666665,336.8025639688243,3.6374676908633043,0.0,0.0,0.0025775262022727377,0.0013715705768116253
